english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
Civil Unrest,"(Insurance) Civil unrest is fighting between different groups of people living in the same country, and losses caused by this fighting are usually not covered by insurance.",disturbio,"Alteración, turbación de la paz y concordia.","Also 'disturbios civiles' in the ACNUR manual, p. 245",
,,desasosiego,"1. m. Falta de sosiego (Quietud, tranquilidad, serenidad).",,
,,revuelta,"1. f. Alboroto, alteración, sedición.",,
Turmoil,"Turmoil is a state of confusion, disorder, uncertainty, or great anxiety. ",turbulencia,"2. f. Confusión, alboroto o perturbación.",,
Chaos,"2.  extreme confusion or disorder  
[...]
4. A pattern or state of order existing within apparent disorder, as in the irregularities of a coastline or a snowflake",caos,"2. m. Confusión, desorden.
3. m. Fís. y Mat. Comportamiento aparentemente errático e impredecible de algunos sistemas dinámicos deterministas con gran sensibilidad a las condiciones iniciales.",,
Disorder,"3. variable noun
Disorder is violence or rioting in public. ",desorden,3. m. Disturbio que altera la tranquilidad pública. U. m. en pl.,,
crisis,A crisis is a situation in which something or someone is affected by one or more very serious problems. ,crisis,"Cambio profundo y de consecuencias importantes en un proceso o una situación, o en la manera en que estos son apreciados. ",,
riot,"When there is a riot, a crowd of people behave violently in a public place, for example they fight, throw stones, or damage buildings and vehicles. ",motín,"1. m. Movimiento desordenado de una muchedumbre, por lo común contra la autoridad constituida.",,
revolt,A revolt is an illegal and often violent attempt by a group of people to change their country's political system. ,rebelión,"1. f. Acción y efecto de rebelarse. Era u. t. c. m.

2. f. Der. Delito contra el orden público, penado por la ley ordinaria y por la militar, consistente en el levantamiento público y en cierta hostilidad contra los poderes del Estado, con el fin de derrocarlos.
",,
sedition,"Sedition is speech, writing, or behavior intended to encourage people to fight against or oppose the government. ",sedición,"1. f. Alzamiento colectivo y violento contra la autoridad, el orden público o la disciplina militar, sin llegar a la gravedad de la rebelión.",,
uprising,"When there is an uprising, a group of people start fighting against the people who are in power in their country, because they want to bring about a political change. ",sublevar,"1. tr. Llevar a alguien a la sedición o al motín. Sublevar a los soldados, al pueblo. U. t. c. prnl.
2. tr. Excitar indignación, promover sentimiento de protesta.",,
,,levantamiento,"1. m. Acción y efecto de levantar o levantarse.
2. m. Sedición, alboroto popular.
3. m. Sublimidad, elevación.",,
agitation,3. the act of attempting to stir up public opinion for or against something,agitación,3. tr. Provocar la inquietud política o social.,,
social discontent,"Social discontent is a complicated and controversial phenomenon. In the context of
everyday use, the term refers to the feeling that people have that the deterioration
of society is out of control and therefore cannot be stopped. (https://kennisopenbaarbestuur.nl/media/255088/social-discontent-and-public-administration.pdf)",malestar social,"""[...] han generado un fuerte malestar individual y colectivo que se manifiesta a través de miedos, inseguridades, pérdida de referentes, apatía, racionalidades cortoplacistas, y otra serie de síntomas…"" (http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-05652012000200008)",,
conflict,"1. Conflict is serious disagreement and argument about something important. If two people or groups are in conflict, they have had a serious disagreement or argument and have not yet reached agreement. 
2. Conflict is a state of mind in which you find it impossible to make a decision. 
3. Conflict is fighting between countries or groups of people. 
4. A conflict is a serious difference between two or more beliefs, ideas, or interests. If two beliefs, ideas, or interests are in conflict, they are very different. 
5. If ideas, beliefs, or accounts conflict, they are very different from each other and it seems impossible for them to exist together or to each be true. ",conflicto,"1. m. Combate, lucha, pelea. U. t. en sent. fig.
2. m. Enfrentamiento armado.
3. m. Apuro, situación desgraciada y de difícil salida.
4. m. Problema, cuestión, materia de discusión. Conflicto de competencia, de jurisdicción.
5. m. Psicol. Coexistencia de tendencias contradictorias en el individuo, capaces de generar angustia y trastornos neuróticos.
6. m. desus. Momento en que la batalla es más dura y violenta.",,
,,,,,
Upheaval,"1. An upheaval is a big change which causes a lot of trouble, confusion, and worry. 2. A strong, sudden, or violent disturbance, as in politics, social conditions, etc ",,,,
Strife,Strife is strong disagreement or fighting. ,,,,
,,,,,
,,contienda,"1. f. Lidia, pelea, riña, batalla.
2. f. Disputa, discusión, debate.",,
