english,english-definition,spanish,spanish-definition,comments,proposals,category,tags
Argumentative,,Argumentativa,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
More prejudicial than probative,,Pasión y Perjuicio,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Counsel is testifying,,Dando Fe,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
"Misrepresenting, mischaracterizing, misstating the law",,Declaración Equívoca de la Ley,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
leading question,,"Pregunta capciosa, sugestiva",,"As per Código Procesal Penal de Perú, Art. 170",,objections,
Narrative response,,Respuesta Narrativa,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Lack of Foundation - Question,,Falta de Fundamentación - Pregunta,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Lack of Foundation - Expert Witness,,Falta de Fundamentación - Peritaje,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Lack of Evidentiary Foundation,,Falta de Fundamentación Evidenciaria,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Speculation,,Especulación,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Question asked and answered,,"Pregunta Ya Formulada y Contestada, pregunta repetida",,"As per Código Procesal Penal de Perú, Art. 376",,objections,
Relevance,,Relevancia,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Beyond the scope,,Fuera del Alcance,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Compound questions,,Pregunta Compuesta,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Calls for a legal conclusion,,Cuestión Jurídica,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Non-responsive answer,,Respuesta No Responsiva,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
Facts not in evidence,,Hechos No Comprobados,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
irrelevant question,,pregunta impertinente,,"""Taller de Litigación Oral Básico"", Fernando Ugaz Z., Ayacucho, diciembre 2013",,objections,
